,title,url,authors,abstract,conference,citation,year,search_field
10,"""The Togetherness that We Crave"": Experiencing Social VR in Long Distance Relationships",https://dl.acm.org/doi/10.1145/3311957.3359453,"Samaneh Zamanifard,Guo Freeman"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '19 Companion: Companion Publication of the 2019 Conference on Computer Supported Cooperative Work and Social Computing,32,2019,Abstract
11,Establishing a Framework to Measure Strategic Social Value of Online Engagements: A Model for Determining Social Identity,https://dl.acm.org/doi/10.1145/3322385.3322404,"Carlos D. Buskey,Rajni Goel,Curtis C. Cain"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",SIGMIS-CPR '19: Proceedings of the 2019 on Computers and People Research Conference,1,2019,Abstract
12,Benefits and Challenges for Social Media Users on the Autism Spectrum,https://dl.acm.org/doi/10.1145/3406865.3418322,"Tao Wang,Monica Garfield,Pamela Wisniewski,Xinru Page"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CSCW '20 Companion: Companion Publication of the 2020 Conference on Computer Supported Cooperative Work and Social Computing,7,2020,Abstract
13,Understanding Emotional Disclosure via Diary-keeping in Quarantine on Social Media,https://dl.acm.org/doi/10.1145/3629606.3629623,"Yue Deng,Changyang He,Bo Li"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CHCHI '23: Proceedings of the Eleventh International Symposium of Chinese CHI,0,2023,Abstract
14,A method to extract a social network based on semantic association,https://dl.acm.org/doi/10.1145/1968613.1968625,"Sunju Oh,Heon Y. Yeom,Joongho Ahn"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",ICUIMC '11: Proceedings of the 5th International Conference on Ubiquitous Information Management and Communication,0,2011,Abstract
15,Photographic social media: a framework for design,https://dl.acm.org/doi/10.1145/2317956.2317994,"Clifton Lin,Haakon Faste"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",DIS '12: Proceedings of the Designing Interactive Systems Conference,1,2012,Abstract
16,Pragmatic Tool vs. Relational Hindrance: Exploring Why Some Social Media Users Avoid Privacy Features,https://dl.acm.org/doi/10.1145/3359212,"Xinru Page,Reza Ghaiumy Anaraky,Bart P. Knijnenburg,Pamela J. Wisniewski"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.","Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 3, Issue CSCW",9,No.:,Abstract
17,Rethinking measurements of social media use by charities: a mixed methods approach,https://dl.acm.org/doi/10.1145/2464464.2464497,"Christopher Phethean,Thanassis Tiropanis,Lisa Harris"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",WebSci '13: Proceedings of the 5th Annual ACM Web Science Conference,9,2013,Abstract
18,Digital Decoupling and Disentangling: Towards Design for Romantic Break Up,https://dl.acm.org/doi/10.1145/3064663.3064765,"Daniel Herron,Wendy Moncur,Elise van den Hoven"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",DIS '17: Proceedings of the 2017 Conference on Designing Interactive Systems,18,2017,Abstract
19,Collaborative boosting for activity classification in microblogs,https://dl.acm.org/doi/10.1145/2487575.2487661,"Yangqiu Song,Zhengdong Lu,Cane Wing-ki Leung,Qiang Yang"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",KDD '13: Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,14,2013,Abstract
20,"""Am I Never Going to Be Free of All This Crap?"": Upsetting Encounters with Algorithmically Curated Content About Ex-Partners",https://dl.acm.org/doi/10.1145/3359172,"Anthony T. Pinter,Jialun Aaron Jiang,Katie Z. Gach,Melanie M. Sidwell,James E. Dykes,Jed R. Brubaker"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.","Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 3, Issue CSCW",7,No.:,Abstract
21,Drawing From Social Media to Inspire Increasingly Playful and Social Drone Futures,https://dl.acm.org/doi/10.1145/3461778.3462020,"Alexandra Pometko,Ella Dagan,Ferran Altarriba Bertran,Katherine Isbister"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",DIS '21: Proceedings of the 2021 ACM Designing Interactive Systems Conference,4,2021,Abstract
22,"Anonymity, Intimacy and Self-Disclosure in Social Media",https://dl.acm.org/doi/10.1145/2858036.2858414,"Xiao Ma,Jeff Hancock,Mor Naaman"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CHI '16: Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,112,2016,Abstract
23,Learning Interactions for Social Prediction in Large-scale Networks,https://dl.acm.org/doi/10.1145/2661829.2662056,"Xiaofeng Yu,Junqing Xie"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CIKM '14: Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,4,2014,Abstract
24,Who Would You Like to Work With?,https://dl.acm.org/doi/10.1145/3290605.3300889,"Diego Gómez-Zará,Matthew Paras,Marlon Twyman,Jacqueline N. Lane,Leslie A. DeChurch,Noshir S. Contractor"," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,22,2019,Abstract
25,Designing online tools for informal communication: balancing information integration and sociality,https://dl.acm.org/doi/10.5555/2577101.2577103,Mary Beth Rosson," More and more people form and maintain workplace relationships through computer-mediated communication tools nowadays. When all interactions are mediated by technology, people’s impression of each other can be affected by the selective social cues transmitted by media. The way people present themselves through communication technology might not be perceived by their remote counterparts in the same way as they do. The mediated social cues could affect how people interpret the perceived action, further affecting impression formation and relationship maintenance between remote collaborators. It is unclear whether and how such mediated social cues cause perception gaps and how such perception gaps among different social connections play a part in relationship building in remote workplaces. The goal of my doctoral thesis is to identify the perception gap in computer-mediated communication and its impact on workplace relationship building. First, in a mixed-methods study in remote workplaces, I found that people’s perceptions of their strongly and weakly connected colleagues become polarized when their collaboration is mediated by different communication technologies. Next, I specifically focused on relationship building between potential collaborators, which is another type of weakly connected collaborators in workplaces, via videoconferencing. In a controlled online study, I found that ambient cues from virtual backgrounds cause different impacts on first impressions of remote collaborators and perception of self. With this doctoral thesis, I aim to provide design implications on designing social cues to reduce the perception gaps introduced by communication technology in different stages of workplace relationship building.",IHC '13: Proceedings of the 12th Brazilian Symposium on Human Factors in Computing Systems,0,2013,Abstract
